"county","region","year","quarter","month","yearandmonth","homicide_conv","offences_against_the_person_conv","sexual_offences_conv","burglary_conv","robbery_conv","theft_and_handling_conv","fraud_and_forgery_conv","criminal_damage_conv","drugs_offences_conv","public_order_offences_conv","all_other_offences__excluding_motoring__conv","motoring_offences_conv"
"National","All","2014","Q1 2014","jan",2014-01-01,51,9087,736,1715,522,11057,846,2693,4988,4752,3291,12945
"Avon and Somerset","West","2014","Q1 2014","jan",2014-01-01,0,228,35,49,8,338,18,93,148,123,63,256
"Bedfordshire","East","2014","Q1 2014","jan",2014-01-01,0,68,2,7,16,75,17,22,31,30,13,171
"Cambridgeshire","East","2014","Q1 2014","jan",2014-01-01,0,101,10,18,6,148,10,30,47,37,28,103
"Cheshire","North","2014","Q1 2014","jan",2014-01-01,0,170,15,38,10,205,14,39,64,77,50,264
"Cleveland","North","2014","Q1 2014","jan",2014-01-01,2,119,11,36,3,334,11,46,65,123,34,228
"Cumbria","North","2014","Q1 2014","jan",2014-01-01,0,113,4,16,1,115,6,38,52,78,52,112
"Derbyshire","East","2014","Q1 2014","jan",2014-01-01,0,135,22,36,5,194,15,53,86,59,28,251
"Devon and Cornwall","West","2014","Q1 2014","jan",2014-01-01,0,220,16,25,10,199,18,74,96,83,75,410
"Dorset","West","2014","Q1 2014","jan",2014-01-01,0,87,6,20,6,96,4,30,47,42,61,112
"Durham","North","2014","Q1 2014","jan",2014-01-01,1,105,9,28,0,171,20,42,38,82,12,130
"Dyfed Powys","West","2014","Q1 2014","jan",2014-01-01,0,69,4,8,3,79,4,30,82,81,19,274
"Essex","East","2014","Q1 2014","jan",2014-01-01,3,331,11,42,7,327,31,101,111,135,83,215
"Gloucestershire","West","2014","Q1 2014","jan",2014-01-01,0,71,4,20,3,89,9,14,31,25,5,97
"GreaterManchester","North","2014","Q1 2014","jan",2014-01-01,2,478,52,94,34,495,39,143,200,297,179,772
"Gwent","West","2014","Q1 2014","jan",2014-01-01,0,85,5,11,2,129,5,38,48,74,21,106
"Hampshire","South","2014","Q1 2014","jan",2014-01-01,0,303,19,34,4,317,25,78,187,115,162,245
"Hertfordshire","East","2014","Q1 2014","jan",2014-01-01,3,113,8,20,4,149,13,27,70,53,28,153
"Humberside","North","2014","Q1 2014","jan",2014-01-01,0,217,16,29,7,271,16,79,82,128,47,390
"Kent","South","2014","Q1 2014","jan",2014-01-01,0,230,19,59,10,356,21,87,85,38,200,142
"Lancashire","North","2014","Q1 2014","jan",2014-01-01,4,337,29,83,24,383,20,114,101,223,104,300
"Leicestershire","East","2014","Q1 2014","jan",2014-01-01,2,142,15,13,4,155,12,23,34,50,32,307
"Lincolnshire","East","2014","Q1 2014","jan",2014-01-01,1,117,5,14,2,128,3,26,28,71,8,155
"Merseyside","North","2014","Q1 2014","jan",2014-01-01,2,236,27,39,21,264,21,65,279,128,148,391
"Metropolitan and City","South","2014","Q1 2014","jan",2014-01-01,13,1306,108,266,147,1388,231,312,1228,779,527,1889
"Norfolk","East","2014","Q1 2014","jan",2014-01-01,0,193,15,16,3,190,15,41,60,83,65,135
"Northamptonshire","East","2014","Q1 2014","jan",2014-01-01,0,106,6,16,4,128,5,22,35,29,11,214
"Northumbria","North","2014","Q1 2014","jan",2014-01-01,3,240,30,74,13,526,31,105,115,148,280,503
"North Wales","North","2014","Q1 2014","jan",2014-01-01,1,118,10,26,2,165,7,45,57,75,118,268
"North Yorkshire","Nortth","2014","Q1 2014","jan",2014-01-01,0,98,8,18,1,171,8,39,48,100,28,137
"Nottinghamshire","East","2014","Q1 2014","jan",2014-01-01,0,179,14,43,22,247,17,55,78,75,67,189
"South Wales","West","2014","Q1 2014","jan",2014-01-01,0,362,7,49,4,359,19,124,161,243,70,735
"South Yorkshire","North","2014","Q1 2014","jan",2014-01-01,2,229,18,51,10,409,13,80,140,164,44,362
"Staffordshire","West","2014","Q1 2014","jan",2014-01-01,2,165,10,28,18,201,12,53,84,97,23,646
"Suffolk","East","2014","Q1 2014","jan",2014-01-01,1,165,4,18,2,111,8,33,66,75,33,79
"Surrey","South","2014","Q1 2014","jan",2014-01-01,0,139,7,30,1,114,11,24,79,66,74,201
"Sussex","South","2014","Q1 2014","jan",2014-01-01,0,266,21,40,8,290,18,73,115,113,82,239
"Thames Valley","South","2014","Q1 2014","jan",2014-01-01,4,276,24,41,13,336,24,59,147,117,47,429
"Warwickshire","West","2014","Q1 2014","jan",2014-01-01,0,42,2,17,0,58,2,15,21,28,22,227
"West Mercia","West","2014","Q1 2014","jan",2014-01-01,0,162,10,35,4,172,10,40,68,99,25,256
"West Midlands","West","2014","Q1 2014","jan",2014-01-01,1,419,45,97,49,559,31,133,247,135,201,394
"West Yorkshire","North","2014","Q1 2014","jan",2014-01-01,3,480,44,96,31,531,27,111,198,147,68,363
"Wiltshire","West","2014","Q1 2014","jan",2014-01-01,1,67,9,15,0,85,5,37,29,27,54,95
"National","All","2014","Q1 2014","feb",2014-02-01,61,8366,712,1549,541,10150,758,2455,4565,3787,3208,12078
"Avon and Somerset","West","2014","Q1 2014","feb",2014-02-01,0,263,41,39,7,320,12,76,140,131,55,191
"Bedfordshire","East","2014","Q1 2014","feb",2014-02-01,0,59,6,11,7,84,7,12,19,7,11,36
"Cambridgeshire","East","2014","Q1 2014","feb",2014-02-01,0,109,16,25,0,111,17,21,60,30,26,76
"Cheshire","North","2014","Q1 2014","feb",2014-02-01,0,159,19,25,7,191,14,41,74,86,67,321
"Cleveland","North","2014","Q1 2014","feb",2014-02-01,0,102,16,34,4,261,12,57,66,94,22,101
"Cumbria","North","2014","Q1 2014","feb",2014-02-01,0,67,3,13,2,116,1,42,43,45,55,91
"Derbyshire","East","2014","Q1 2014","feb",2014-02-01,1,145,14,27,7,201,11,54,68,76,46,171
"Devon and Cornwall","West","2014","Q1 2014","feb",2014-02-01,0,142,14,39,5,161,16,49,44,70,77,324
"Dorset","West","2014","Q1 2014","feb",2014-02-01,1,62,7,21,3,60,2,27,21,30,59,66
"Durham","North","2014","Q1 2014","feb",2014-02-01,1,83,9,20,6,161,4,48,30,69,14,74
"Dyfed Powys","West","2014","Q1 2014","feb",2014-02-01,1,73,4,13,1,64,12,17,96,51,30,145
"Essex","East","2014","Q1 2014","feb",2014-02-01,0,324,12,33,3,257,19,58,79,59,86,220
"Gloucestershire","West","2014","Q1 2014","feb",2014-02-01,0,52,2,11,2,62,3,16,34,34,9,128
"GreaterManchester","North","2014","Q1 2014","feb",2014-02-01,0,505,38,86,32,485,23,157,235,235,146,1160
"Gwent","West","2014","Q1 2014","feb",2014-02-01,0,83,10,26,12,103,11,41,58,89,24,80
"Hampshire","South","2014","Q1 2014","feb",2014-02-01,0,234,22,39,8,286,16,60,132,99,201,187
"Hertfordshire","East","2014","Q1 2014","feb",2014-02-01,2,99,2,15,0,106,14,25,76,32,8,68
"Humberside","North","2014","Q1 2014","feb",2014-02-01,1,188,23,37,7,260,3,49,75,87,39,265
"Kent","South","2014","Q1 2014","feb",2014-02-01,2,200,14,43,7,359,13,67,113,55,203,137
"Lancashire","North","2014","Q1 2014","feb",2014-02-01,2,340,24,60,24,396,15,97,118,174,103,254
"Leicestershire","East","2014","Q1 2014","feb",2014-02-01,2,152,17,10,6,183,6,33,32,38,16,354
"Lincolnshire","East","2014","Q1 2014","feb",2014-02-01,0,89,11,24,2,103,9,21,26,57,18,107
"Merseyside","North","2014","Q1 2014","feb",2014-02-01,4,242,25,48,22,329,53,55,333,112,120,474
"Metropolitan and City","South","2014","Q1 2014","feb",2014-02-01,20,1331,114,246,173,1426,232,346,1054,630,452,1642
"Norfolk","East","2014","Q1 2014","feb",2014-02-01,0,143,10,22,7,132,13,42,63,70,57,86
"Northamptonshire","East","2014","Q1 2014","feb",2014-02-01,1,83,6,21,4,102,3,24,46,38,26,100
"Northumbria","North","2014","Q1 2014","feb",2014-02-01,0,267,15,56,17,462,16,84,109,160,229,382
"North Wales","North","2014","Q1 2014","feb",2014-02-01,2,106,9,29,4,145,8,42,32,37,79,168
"North Yorkshire","Nortth","2014","Q1 2014","feb",2014-02-01,1,101,3,20,0,115,9,28,41,68,28,129
"Nottinghamshire","East","2014","Q1 2014","feb",2014-02-01,1,193,12,29,17,216,22,44,89,73,97,157
"South Wales","West","2014","Q1 2014","feb",2014-02-01,1,291,17,46,15,312,11,78,161,170,85,1198
"South Yorkshire","North","2014","Q1 2014","feb",2014-02-01,3,232,7,40,6,329,17,83,109,89,44,281
"Staffordshire","West","2014","Q1 2014","feb",2014-02-01,0,132,17,19,19,203,5,68,78,95,43,521
"Suffolk","East","2014","Q1 2014","feb",2014-02-01,0,133,7,17,0,108,13,43,45,53,38,64
"Surrey","South","2014","Q1 2014","feb",2014-02-01,0,108,17,21,1,140,10,27,78,16,68,116
"Sussex","South","2014","Q1 2014","feb",2014-02-01,0,191,24,23,4,210,16,48,104,67,76,288
"Thames Valley","South","2014","Q1 2014","feb",2014-02-01,3,231,29,43,16,274,18,61,114,82,44,699
"Warwickshire","West","2014","Q1 2014","feb",2014-02-01,0,43,3,6,2,75,8,17,11,20,24,225
"West Mercia","West","2014","Q1 2014","feb",2014-02-01,4,130,19,26,11,158,7,45,48,80,28,268
"West Midlands","West","2014","Q1 2014","feb",2014-02-01,6,419,26,72,50,563,22,116,236,106,243,357
"West Yorkshire","North","2014","Q1 2014","feb",2014-02-01,2,379,23,103,21,458,31,112,143,152,71,291
"Wiltshire","West","2014","Q1 2014","feb",2014-02-01,0,81,5,11,0,63,4,24,32,21,41,76
"National","All","2014","Q1 2014","mar",2014-03-01,57,8595,731,1618,569,10716,814,2413,4649,3920,2994,11155
"Avon and Somerset","West","2014","Q1 2014","mar",2014-03-01,1,230,30,39,14,371,19,81,139,107,94,723
"Bedfordshire","East","2014","Q1 2014","mar",2014-03-01,2,102,4,26,11,147,9,28,61,20,20,89
"Cambridgeshire","East","2014","Q1 2014","mar",2014-03-01,0,83,4,27,5,121,10,22,43,55,25,74
"Cheshire","North","2014","Q1 2014","mar",2014-03-01,0,148,15,20,2,226,13,41,73,68,42,245
"Cleveland","North","2014","Q1 2014","mar",2014-03-01,1,92,15,38,10,278,8,39,62,79,28,233
"Cumbria","North","2014","Q1 2014","mar",2014-03-01,0,130,5,15,1,76,4,36,36,28,59,105
"Derbyshire","East","2014","Q1 2014","mar",2014-03-01,1,124,13,29,3,149,6,28,57,46,41,108
"Devon and Cornwall","West","2014","Q1 2014","mar",2014-03-01,1,221,11,35,0,202,5,57,72,76,82,374
"Dorset","West","2014","Q1 2014","mar",2014-03-01,2,84,3,16,3,115,2,26,41,36,46,92
"Durham","North","2014","Q1 2014","mar",2014-03-01,1,88,12,29,4,161,7,47,21,57,15,78
"Dyfed Powys","West","2014","Q1 2014","mar",2014-03-01,0,64,6,16,0,31,2,23,66,51,15,204
"Essex","East","2014","Q1 2014","mar",2014-03-01,4,280,19,37,13,288,16,69,126,65,47,195
"Gloucestershire","West","2014","Q1 2014","mar",2014-03-01,0,64,3,21,2,100,8,22,58,23,5,80
"GreaterManchester","North","2014","Q1 2014","mar",2014-03-01,4,553,42,100,41,530,47,136,242,270,118,1040
"Gwent","West","2014","Q1 2014","mar",2014-03-01,0,70,3,25,6,101,12,24,36,56,32,72
"Hampshire","South","2014","Q1 2014","mar",2014-03-01,0,249,26,35,7,284,13,79,108,105,148,188
"Hertfordshire","East","2014","Q1 2014","mar",2014-03-01,1,195,16,30,17,187,34,41,121,66,22,155
"Humberside","North","2014","Q1 2014","mar",2014-03-01,2,159,23,43,8,255,7,54,76,90,26,150
"Kent","South","2014","Q1 2014","mar",2014-03-01,2,216,13,27,18,301,23,69,94,48,130,169
"Lancashire","North","2014","Q1 2014","mar",2014-03-01,2,316,44,97,20,314,21,113,112,191,137,243
"Leicestershire","East","2014","Q1 2014","mar",2014-03-01,1,168,8,16,9,193,19,41,36,84,17,323
"Lincolnshire","East","2014","Q1 2014","mar",2014-03-01,0,80,5,15,4,105,3,17,41,56,12,127
"Merseyside","North","2014","Q1 2014","mar",2014-03-01,1,229,23,39,21,339,42,59,279,89,135,417
"Metropolitan and City","South","2014","Q1 2014","mar",2014-03-01,11,1224,108,221,162,1257,219,277,1084,631,496,1500
"Norfolk","East","2014","Q1 2014","mar",2014-03-01,0,151,6,19,8,163,9,42,63,69,63,107
"Northamptonshire","East","2014","Q1 2014","mar",2014-03-01,3,106,8,13,1,134,8,32,43,47,16,107
"Northumbria","North","2014","Q1 2014","mar",2014-03-01,1,246,20,63,9,501,18,112,100,134,240,274
"North Wales","North","2014","Q1 2014","mar",2014-03-01,0,94,7,10,7,155,4,41,33,44,74,154
"North Yorkshire","Nortth","2014","Q1 2014","mar",2014-03-01,5,121,7,25,2,161,11,35,35,80,12,99
"Nottinghamshire","East","2014","Q1 2014","mar",2014-03-01,1,184,8,32,20,221,14,46,98,55,58,175
"South Wales","West","2014","Q1 2014","mar",2014-03-01,1,240,13,57,5,287,34,67,152,160,66,431
"South Yorkshire","North","2014","Q1 2014","mar",2014-03-01,0,207,17,31,15,357,12,71,130,122,39,208
"Staffordshire","West","2014","Q1 2014","mar",2014-03-01,0,192,15,26,6,213,8,48,82,111,46,264
"Suffolk","East","2014","Q1 2014","mar",2014-03-01,0,136,1,15,0,104,11,35,58,45,36,87
"Surrey","South","2014","Q1 2014","mar",2014-03-01,0,126,12,19,4,182,20,48,98,91,72,155
"Sussex","South","2014","Q1 2014","mar",2014-03-01,0,206,25,34,4,237,13,43,114,57,76,236
"Thames Valley","South","2014","Q1 2014","mar",2014-03-01,3,270,32,42,5,350,26,58,146,122,34,824
"Warwickshire","West","2014","Q1 2014","mar",2014-03-01,0,64,3,9,2,81,8,13,12,33,24,101
"West Mercia","West","2014","Q1 2014","mar",2014-03-01,0,147,17,24,6,200,10,41,63,102,34,213
"West Midlands","West","2014","Q1 2014","mar",2014-03-01,2,446,39,85,44,674,42,146,171,102,218,356
"West Yorkshire","North","2014","Q1 2014","mar",2014-03-01,3,378,45,104,43,487,16,74,121,132,74,307
"Wiltshire","West","2014","Q1 2014","mar",2014-03-01,1,112,5,14,7,78,1,32,46,17,20,73
"National","All","2014","Q2 2014","apr",2014-04-01,81,7805,698,1470,517,10045,666,2259,4536,3549,2640,8283
"Avon and Somerset","West","2014","Q2 2014","apr",2014-04-01,1,167,36,37,9,266,11,54,135,68,66,188
"Bedfordshire","East","2014","Q2 2014","apr",2014-04-01,0,69,5,16,4,98,8,20,45,29,11,40
"Cambridgeshire","East","2014","Q2 2014","apr",2014-04-01,0,99,6,8,6,107,7,21,40,45,6,79
"Cheshire","North","2014","Q2 2014","apr",2014-04-01,1,140,17,26,1,206,16,35,75,86,50,209
"Cleveland","North","2014","Q2 2014","apr",2014-04-01,0,85,11,25,5,254,6,32,63,74,28,124
"Cumbria","North","2014","Q2 2014","apr",2014-04-01,0,77,8,12,1,108,5,37,42,40,64,95
"Derbyshire","East","2014","Q2 2014","apr",2014-04-01,0,151,8,31,8,203,11,40,75,50,46,258
"Devon and Cornwall","West","2014","Q2 2014","apr",2014-04-01,1,157,11,16,6,151,8,56,70,65,64,189
"Dorset","West","2014","Q2 2014","apr",2014-04-01,0,73,1,18,3,123,7,24,29,45,25,71
"Durham","North","2014","Q2 2014","apr",2014-04-01,2,75,11,30,0,144,4,43,19,58,12,66
"Dyfed Powys","West","2014","Q2 2014","apr",2014-04-01,0,63,0,17,2,56,2,27,76,28,20,178
"Essex","East","2014","Q2 2014","apr",2014-04-01,1,261,20,39,6,280,16,63,97,79,52,175
"Gloucestershire","West","2014","Q2 2014","apr",2014-04-01,0,41,4,13,0,68,9,14,22,14,19,80
"GreaterManchester","North","2014","Q2 2014","apr",2014-04-01,1,471,44,87,29,532,51,172,239,249,132,455
"Gwent","West","2014","Q2 2014","apr",2014-04-01,0,77,6,20,2,124,8,20,55,58,16,66
"Hampshire","South","2014","Q2 2014","apr",2014-04-01,2,253,18,38,8,317,19,79,134,95,104,227
"Hertfordshire","East","2014","Q2 2014","apr",2014-04-01,1,132,15,29,12,210,23,47,114,83,12,158
"Humberside","North","2014","Q2 2014","apr",2014-04-01,0,181,12,41,5,229,14,44,55,96,22,119
"Kent","South","2014","Q2 2014","apr",2014-04-01,9,235,17,44,9,305,11,65,109,36,125,164
"Lancashire","North","2014","Q2 2014","apr",2014-04-01,1,265,30,63,9,272,19,93,114,147,113,256
"Leicestershire","East","2014","Q2 2014","apr",2014-04-01,4,140,6,26,4,166,10,38,36,53,17,193
"Lincolnshire","East","2014","Q2 2014","apr",2014-04-01,0,89,10,20,2,138,5,17,26,44,23,125
"Merseyside","North","2014","Q2 2014","apr",2014-04-01,5,228,17,33,8,298,12,56,285,101,106,222
"Metropolitan and City","South","2014","Q2 2014","apr",2014-04-01,21,1129,117,224,179,1273,179,271,1098,639,482,1404
"Norfolk","East","2014","Q2 2014","apr",2014-04-01,1,165,8,12,3,146,11,52,76,58,49,107
"Northamptonshire","East","2014","Q2 2014","apr",2014-04-01,2,69,13,23,11,135,7,21,31,44,11,97
"Northumbria","North","2014","Q2 2014","apr",2014-04-01,3,225,10,54,15,415,15,99,98,109,188,249
"North Wales","North","2014","Q2 2014","apr",2014-04-01,1,100,7,21,3,137,9,45,40,43,68,150
"North Yorkshire","Nortth","2014","Q2 2014","apr",2014-04-01,1,92,5,6,6,137,6,19,38,42,11,78
"Nottinghamshire","East","2014","Q2 2014","apr",2014-04-01,2,182,12,30,11,241,10,45,100,46,51,154
"South Wales","West","2014","Q2 2014","apr",2014-04-01,0,232,13,55,10,289,9,64,112,150,47,323
"South Yorkshire","North","2014","Q2 2014","apr",2014-04-01,2,218,18,44,9,350,9,75,114,78,41,162
"Staffordshire","West","2014","Q2 2014","apr",2014-04-01,0,150,15,20,8,161,11,55,80,85,63,147
"Suffolk","East","2014","Q2 2014","apr",2014-04-01,1,138,7,14,4,111,5,28,40,61,43,68
"Surrey","South","2014","Q2 2014","apr",2014-04-01,0,93,11,5,8,111,17,23,55,39,37,134
"Sussex","South","2014","Q2 2014","apr",2014-04-01,0,171,15,35,7,190,14,36,80,72,74,161
"Thames Valley","South","2014","Q2 2014","apr",2014-04-01,9,214,26,40,10,296,15,51,122,105,32,280
"Warwickshire","West","2014","Q2 2014","apr",2014-04-01,0,35,7,10,1,76,1,10,18,15,32,154
"West Mercia","West","2014","Q2 2014","apr",2014-04-01,1,156,24,14,5,169,5,47,55,66,49,198
"West Midlands","West","2014","Q2 2014","apr",2014-04-01,6,413,28,90,55,558,35,109,226,116,164,304
"West Yorkshire","North","2014","Q2 2014","apr",2014-04-01,1,420,40,78,30,505,22,86,173,116,52,297
"Wiltshire","West","2014","Q2 2014","apr",2014-04-01,1,74,9,6,3,90,4,26,25,22,13,79
"National","All","2014","Q2 2014","may",2014-05-01,69,8178,721,1562,532,10146,754,2403,4510,4022,2753,8615
"Avon and Somerset","West","2014","Q2 2014","may",2014-05-01,1,210,29,38,8,287,24,63,116,65,91,141
"Bedfordshire","East","2014","Q2 2014","may",2014-05-01,1,69,8,5,6,82,8,16,25,27,13,63
"Cambridgeshire","East","2014","Q2 2014","may",2014-05-01,0,73,5,16,4,106,10,25,39,26,24,74
"Cheshire","North","2014","Q2 2014","may",2014-05-01,1,167,10,34,0,194,9,40,73,60,61,154
"Cleveland","North","2014","Q2 2014","may",2014-05-01,1,99,7,33,5,219,8,46,67,114,12,97
"Cumbria","North","2014","Q2 2014","may",2014-05-01,0,67,8,14,0,86,2,32,49,25,75,71
"Derbyshire","East","2014","Q2 2014","may",2014-05-01,0,142,13,22,12,210,11,42,74,60,37,132
"Devon and Cornwall","West","2014","Q2 2014","may",2014-05-01,1,171,11,28,3,154,9,57,80,62,92,193
"Dorset","West","2014","Q2 2014","may",2014-05-01,0,118,11,15,0,170,6,36,41,70,19,93
"Durham","North","2014","Q2 2014","may",2014-05-01,0,93,8,20,7,156,12,41,22,82,18,80
"Dyfed Powys","West","2014","Q2 2014","may",2014-05-01,0,86,4,8,2,36,2,23,85,49,18,178
"Essex","East","2014","Q2 2014","may",2014-05-01,2,256,16,40,11,289,17,71,88,71,108,204
"Gloucestershire","West","2014","Q2 2014","may",2014-05-01,0,41,3,13,3,76,5,24,33,16,7,41
"GreaterManchester","North","2014","Q2 2014","may",2014-05-01,0,474,41,79,40,515,45,171,199,291,137,387
"Gwent","West","2014","Q2 2014","may",2014-05-01,0,77,10,28,5,96,9,28,55,50,29,82
"Hampshire","South","2014","Q2 2014","may",2014-05-01,0,351,19,50,8,395,10,115,146,138,79,214
"Hertfordshire","East","2014","Q2 2014","may",2014-05-01,2,146,10,21,8,198,17,43,88,62,21,155
"Humberside","North","2014","Q2 2014","may",2014-05-01,0,135,18,48,5,280,10,43,73,71,24,159
"Kent","South","2014","Q2 2014","may",2014-05-01,14,178,28,52,13,287,25,51,88,56,117,171
"Lancashire","North","2014","Q2 2014","may",2014-05-01,1,293,25,56,16,301,16,102,99,192,121,255
"Leicestershire","East","2014","Q2 2014","may",2014-05-01,0,194,14,28,4,155,24,30,37,52,10,150
"Lincolnshire","East","2014","Q2 2014","may",2014-05-01,0,83,7,25,0,120,3,22,17,47,23,106
"Merseyside","North","2014","Q2 2014","may",2014-05-01,2,252,21,36,23,272,14,65,264,84,157,208
"Metropolitan and City","South","2014","Q2 2014","may",2014-05-01,29,1126,127,212,179,1254,215,301,1134,669,453,1348
"Norfolk","East","2014","Q2 2014","may",2014-05-01,0,133,15,18,8,122,6,38,66,84,54,98
"Northamptonshire","East","2014","Q2 2014","may",2014-05-01,0,92,7,16,9,100,8,19,38,41,13,99
"Northumbria","North","2014","Q2 2014","may",2014-05-01,0,253,15,69,11,504,27,100,132,119,193,226
"North Wales","North","2014","Q2 2014","may",2014-05-01,0,93,15,18,3,140,7,35,39,43,83,300
"North Yorkshire","Nortth","2014","Q2 2014","may",2014-05-01,1,110,4,20,3,132,8,42,40,80,21,110
"Nottinghamshire","East","2014","Q2 2014","may",2014-05-01,6,199,8,47,12,222,16,48,90,66,66,160
"South Wales","West","2014","Q2 2014","may",2014-05-01,1,281,22,50,13,316,18,81,163,200,66,653
"South Yorkshire","North","2014","Q2 2014","may",2014-05-01,0,199,6,33,6,351,8,77,94,125,39,188
"Staffordshire","West","2014","Q2 2014","may",2014-05-01,1,150,9,32,6,182,9,46,65,92,43,134
"Suffolk","East","2014","Q2 2014","may",2014-05-01,0,106,10,5,3,88,4,30,42,67,15,65
"Surrey","South","2014","Q2 2014","may",2014-05-01,0,81,10,28,5,109,17,31,90,42,55,128
"Sussex","South","2014","Q2 2014","may",2014-05-01,1,162,26,25,7,219,22,46,83,83,67,173
"Thames Valley","South","2014","Q2 2014","may",2014-05-01,1,294,26,48,20,409,22,59,148,169,46,551
"Warwickshire","West","2014","Q2 2014","may",2014-05-01,0,50,3,9,1,59,0,23,16,19,17,124
"West Mercia","West","2014","Q2 2014","may",2014-05-01,1,172,19,37,4,194,10,37,61,73,26,187
"West Midlands","West","2014","Q2 2014","may",2014-05-01,1,434,29,97,37,534,33,103,202,111,123,294
"West Yorkshire","North","2014","Q2 2014","may",2014-05-01,1,370,39,80,17,434,19,83,112,144,61,271
"Wiltshire","West","2014","Q2 2014","may",2014-05-01,0,98,5,9,5,93,9,18,37,25,19,98
"National","All","2014","Q2 2014","jun",2014-06-01,61,8444,778,1467,512,9938,708,2466,4563,4023,2743,8407
"Avon and Somerset","West","2014","Q2 2014","jun",2014-06-01,3,231,25,34,4,259,17,62,125,69,71,189
"Bedfordshire","East","2014","Q2 2014","jun",2014-06-01,1,57,1,10,5,97,7,15,44,28,18,65
"Cambridgeshire","East","2014","Q2 2014","jun",2014-06-01,0,111,5,11,8,108,18,19,38,55,13,92
"Cheshire","North","2014","Q2 2014","jun",2014-06-01,1,183,15,35,6,223,9,40,82,89,57,171
"Cleveland","North","2014","Q2 2014","jun",2014-06-01,3,84,19,39,4,245,9,41,57,99,21,174
"Cumbria","North","2014","Q2 2014","jun",2014-06-01,1,90,6,14,3,100,5,38,46,32,82,85
"Derbyshire","East","2014","Q2 2014","jun",2014-06-01,0,117,11,13,8,180,7,40,65,41,37,129
"Devon and Cornwall","West","2014","Q2 2014","jun",2014-06-01,1,147,12,26,4,145,16,52,89,81,54,154
"Dorset","West","2014","Q2 2014","jun",2014-06-01,0,98,11,14,2,128,6,30,24,51,23,88
"Durham","North","2014","Q2 2014","jun",2014-06-01,0,84,14,17,3,153,1,35,29,62,22,80
"Dyfed Powys","West","2014","Q2 2014","jun",2014-06-01,0,66,3,11,2,53,0,21,84,34,10,178
"Essex","East","2014","Q2 2014","jun",2014-06-01,0,260,28,31,8,257,17,69,73,94,47,222
"Gloucestershire","West","2014","Q2 2014","jun",2014-06-01,0,52,5,6,2,85,5,15,18,14,17,58
"GreaterManchester","North","2014","Q2 2014","jun",2014-06-01,1,547,49,87,35,478,44,201,225,273,125,350
"Gwent","West","2014","Q2 2014","jun",2014-06-01,3,62,5,17,0,94,2,27,52,55,17,66
"Hampshire","South","2014","Q2 2014","jun",2014-06-01,0,305,23,32,6,295,16,74,102,110,63,195
"Hertfordshire","East","2014","Q2 2014","jun",2014-06-01,0,163,16,18,10,190,16,33,77,53,15,143
"Humberside","North","2014","Q2 2014","jun",2014-06-01,2,200,18,31,6,192,11,52,53,90,39,92
"Kent","South","2014","Q2 2014","jun",2014-06-01,0,248,23,55,15,352,19,94,135,86,120,215
"Lancashire","North","2014","Q2 2014","jun",2014-06-01,0,264,26,72,14,350,17,119,144,173,146,281
"Leicestershire","East","2014","Q2 2014","jun",2014-06-01,0,162,6,27,6,138,6,50,31,86,15,142
"Lincolnshire","East","2014","Q2 2014","jun",2014-06-01,0,80,5,27,3,105,8,13,30,43,6,119
"Merseyside","North","2014","Q2 2014","jun",2014-06-01,1,265,23,37,20,296,17,54,285,183,181,250
"Metropolitan and City","South","2014","Q2 2014","jun",2014-06-01,13,1252,125,226,174,1356,204,303,1102,697,496,1404
"Norfolk","East","2014","Q2 2014","jun",2014-06-01,0,210,15,19,3,164,9,65,71,112,17,101
"Northamptonshire","East","2014","Q2 2014","jun",2014-06-01,0,95,10,11,6,82,8,18,21,33,19,96
"Northumbria","North","2014","Q2 2014","jun",2014-06-01,1,257,22,59,6,446,20,91,122,103,202,233
"North Wales","North","2014","Q2 2014","jun",2014-06-01,0,131,6,17,2,191,6,64,44,63,119,273
"North Yorkshire","Nortth","2014","Q2 2014","jun",2014-06-01,1,129,2,28,3,167,17,44,43,93,26,123
"Nottinghamshire","East","2014","Q2 2014","jun",2014-06-01,13,163,13,30,9,221,4,46,102,72,54,127
"South Wales","West","2014","Q2 2014","jun",2014-06-01,1,242,18,37,15,296,6,79,122,133,54,556
"South Yorkshire","North","2014","Q2 2014","jun",2014-06-01,0,195,11,53,6,332,16,55,94,96,52,145
"Staffordshire","West","2014","Q2 2014","jun",2014-06-01,0,156,10,29,5,167,10,51,69,76,35,116
"Suffolk","East","2014","Q2 2014","jun",2014-06-01,0,158,6,10,2,133,5,49,52,74,23,94
"Surrey","South","2014","Q2 2014","jun",2014-06-01,0,97,8,13,6,107,12,32,84,40,71,158
"Sussex","South","2014","Q2 2014","jun",2014-06-01,0,186,29,38,6,236,27,50,98,63,53,197
"Thames Valley","South","2014","Q2 2014","jun",2014-06-01,7,302,38,53,12,336,15,59,180,123,27,335
"Warwickshire","West","2014","Q2 2014","jun",2014-06-01,2,49,2,8,4,69,2,18,14,11,25,69
"West Mercia","West","2014","Q2 2014","jun",2014-06-01,1,143,15,29,8,140,16,39,56,64,38,180
"West Midlands","West","2014","Q2 2014","jun",2014-06-01,2,385,48,55,49,497,37,96,221,144,159,324
"West Yorkshire","North","2014","Q2 2014","jun",2014-06-01,3,356,46,85,19,402,19,86,126,112,49,268
